the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.9963278304713 40.76739738245828, -73.99584888476181 40.76803398624848))",1,Manhattan,104,3,67,31,10,12 AVENUE,33773,4,31997,MN0402,MN,Community,Hell's Kitchen,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"1,3",267.1983012
"MULTILINESTRING ((-73.80515246660762 40.72780205309517, -73.8050840378917 40.727809547499234))",4,Queens,408,24,"25,27",11,6,73 AVENUE,187033,5,48734,QN0802,QN,Baseline,Pomonok-Electchester-Hillcrest,X,AREA OF MINIMAL FLOOD HAZARD,,19.16159326
"MULTILINESTRING ((-73.82030640223303 40.72402076281327, -73.81992010906292 40.72413805420713))",4,Queens,408,24,27,15,6,75 AVENUE,187030,5,48294,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,115.2854147
"MULTILINESTRING ((-73.9945473821062 40.770742241044005, -73.99434695519427 40.77146493021322))",1,Manhattan,104,"3,6",67,"31,27",10,12 AVENUE,34283,4,31955,MN0402,MN,Community,Hell's Kitchen,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1,2",269.0886635
"MULTILINESTRING ((-73.93585837123078 40.677714601623656, -73.93586481272251 40.677607758228184))",3,Brooklyn,"308,303",36,56,25,8,TROY AVENUE,187112,4,8050,BK0802,BK,Community,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,38.96710082
"MULTILINESTRING ((-73.99350262242092 40.7727516325079, -73.99341045499592 40.77287889535587))",1,Manhattan,"104,107","3,6",67,"31,27",10,JOE DIMAGGIO HIGHWAY,164824,4,32095,MN0402,MN,Community,"Hell's Kitchen,Upper West Side-Lincoln Square",AE,,"1,2",52.92931812
"MULTILINESTRING ((-73.98208835869136 40.77790596313466, -73.98198939910499 40.77804313202614))",1,Manhattan,107,6,67,27,10,AMSTERDAM AVENUE,324813,2,33188,MN0701,MN,Regional,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,56.99734257
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-73.84669647785617 40.785970466021595, -73.84672775082417 40.78628628592803))",4,Queens,407,19,27,11,14,BEECH COURT CIRCLE,84702,5,45099,QN0701,QN,Baseline,College Point,X,AREA OF MINIMAL FLOOD HAZARD,,115.3894259
"MULTILINESTRING ((-73.95229911773112 40.74272121061603, -73.95189452722106 40.74293762327944))",4,Queens,402,26,37,12,12,JACKSON AVENUE,165202,2,37956,QN0201,QN,Regional,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,3,137.0622022
"MULTILINESTRING ((-73.84647337059327 40.79359852762085, -73.84720978903302 40.793612995686615))",4,Queens,407,19,27,11,14,KETCH COURT,84754,4,44788,QN0701,QN,Community,College Point,X,AREA OF MINIMAL FLOOD HAZARD,5,203.9761319
"MULTILINESTRING ((-73.84257893663195 40.793046287291155, -73.84261848732892 40.79256075930096))",4,Queens,407,19,27,11,14,125 STREET,84905,5,44884,QN0701,QN,Baseline,College Point,X,AREA OF MINIMAL FLOOD HAZARD,2,177.2332944
"MULTILINESTRING ((-73.86342512053422 40.812727339948744, -73.8638533508211 40.81296605526621))",2,Bronx,209,18,85,34,15,BRONX RIVER AVENUE,85160,5,24641,BX0902,BX,Baseline,Soundview-Clason Point,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",4,147.0228795
"MULTILINESTRING ((-73.80446605033138 40.589208185596746, -73.80528937853073 40.58914073943959))",4,Queens,414,31,31,10,5,AQUATIC DRIVE,187768,5,66041,QN1402,QN,Baseline,Rockaway Beach-Arverne-Edgemere,AE,,1,229.9890651
"MULTILINESTRING ((-73.83789748289986 40.82035163920592, -73.8373375315424 40.82030934940997))",2,Bronx,210,13,82,34,14,JAY PLACE,85731,5,25025,BX1002,BX,Baseline,Castle Hill-Unionport,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,2",155.7475295
"MULTILINESTRING ((-73.92282992186287 40.8461889113846, -73.9228894062451 40.84621634414934, -73.92294276919529 40.84625630765135, -73.92298350227652 40.846307338755594, -73.92300632133043 40.84636545377108, -73.92300903897925 40.84642509520913, -73.92299322686522 40.84648072609092, -73.92296324147141 40.84652841416601))",2,Bronx,205,16,77,29,13,POPHAM AVENUE,187800,4,21553,BX0501,BX,Community,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,145.5583648
"MULTILINESTRING ((-73.9698245530404 40.76864600894427, -73.96999439575438 40.768710736471725, -73.97017502238937 40.76876121156893, -73.97036321536626 40.76879601056242, -73.97055539435831 40.76881433105224, -73.97074781767716 40.768815955947865, -73.9709368357209 40.768801343584435))",1,Manhattan,"164,108","6,4","73,75","28,29","10,12",65 ST TRANSVERSE,111176,4,34102,MN0802,MN,Community,"Upper East Side-Carnegie Hill,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,319.1584956
"MULTILINESTRING ((-73.9709368357209 40.768801343584435, -73.9715485886272 40.768771950751805))",1,Manhattan,164,6,75,29,10,65 ST TRANSVERSE,111175,4,34102,MN0802,MN,Community,Central Park,X,AREA OF MINIMAL FLOOD HAZARD,,169.7903742
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-74.24838337748582 40.514473645149245, -74.24756300379552 40.513588303964355))",5,Staten Island,503,51,62,24,11,GIRARD STREET,202,5,79559,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,395.059532
"MULTILINESTRING ((-74.08731347209628 40.625809906474544, -74.08709789528383 40.62586588424479, -74.08688936026444 40.62593757937352, -74.08669074609253 40.626024125228234, -74.08650472685315 40.626124241109046))",5,Staten Island,501,49,61,23,11,HOWARD CIRCLE,15189,5,68218,SI0104,SI,Baseline,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,253.4615818
"MULTILINESTRING ((-73.96136872718249 40.78022974949781, -73.96091016170163 40.780857035825065))",1,Manhattan,"164,108","6,4","73,69","28,29","10,12",5 AVENUE,37487,2,33972,MN0802,MN,Regional,"Upper East Side-Carnegie Hill,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,261.4569319
"MULTILINESTRING ((-73.86120395239915 40.83204057369566, -73.86021148644781 40.83217818639559))",2,Bronx,209,18,87,32,15,NEWBOLD AVENUE,86130,3,25140,BX0903,BX,Neighborhood,Castle Hill-Unionport,X,AREA OF MINIMAL FLOOD HAZARD,5,279.1852989
"MULTILINESTRING ((-74.24392043211726 40.514775665318425, -74.24451428374871 40.51436540697304))",5,Staten Island,503,51,62,24,11,ORCHARD AVENUE,290,5,79918,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,222.72272
"MULTILINESTRING ((-73.80421232377533 40.76244775981235, -73.80369198358225 40.762505776477866))",4,Queens,407,"20,19",40,"11,16",6,CROCHERON AVENUE,187878,5,46584,QN0704,QN,Baseline,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,,145.6866933
"MULTILINESTRING ((-73.80421232377533 40.76244775981235, -73.80369198358225 40.762505776477866))",4,Queens,407,"20,19",40,"11,16",6,CROCHERON AVENUE,187878,5,46584,QN0704,QN,Baseline,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,,145.6866933
"MULTILINESTRING ((-73.94505127968087 40.802598598860335, -73.9434358524048 40.801919264483296))",1,Manhattan,"110,111",9,"68,70",30,13,EAST 119 STREET,38827,3,35298,MN1102,MN,Neighborhood,"Harlem (South),East Harlem (North)",X,AREA OF MINIMAL FLOOD HAZARD,6,511.1579744
"MULTILINESTRING ((-73.96068717864999 40.817510516586815, -73.96035728962126 40.81795912113357))",1,Manhattan,109,7,70,31,13,12 AVENUE,38405,4,34377,MN0902,MN,Community,"Morningside Heights,Manhattanville-West Harlem",X,AREA OF MINIMAL FLOOD HAZARD,"2,3,5",187.2194651
"MULTILINESTRING ((-73.92109663029555 40.86015972955884, -73.92123475238412 40.86047629228435))",1,Manhattan,112,10,72,31,13,ACADEMY STREET,187935,4,36068,MN1203,MN,Community,Inwood,AE,,2,121.4995427
"MULTILINESTRING ((-73.8541916257838 40.83615083213755, -73.8543701073064 40.83707378585403))",2,Bronx,209,18,87,"32,34",14,ODELL STREET,86440,4,25245,BX0904,BX,Community,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,6,339.8738455
"MULTILINESTRING ((-73.98630272393939 40.602228604749165, -73.98625104240209 40.601958351896535))",3,Brooklyn,311,"44,47",47,"23,22",10,STILLWELL AVENUE,187978,4,10927,BK1103,BK,Community,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,5,99.50047275
"MULTILINESTRING ((-74.2389165286115 40.50439143411933, -74.23882540474688 40.50412377832085))",5,Staten Island,503,51,62,24,11,SUNSET LANE,352,5,79922,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,6,100.7520343
"MULTILINESTRING ((-73.84504578348864 40.83050781067443, -73.8444133766831 40.830598451424414))",2,Bronx,209,"13,18","87,82",34,14,WATSON AVENUE,86753,5,25306,BX0903,BX,Baseline,Westchester Square,X,AREA OF MINIMAL FLOOD HAZARD,"1,5",178.0993542
"MULTILINESTRING ((-74.23666763843404 40.51387468435223, -74.23736018956386 40.513514112969865))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,501,5,79788,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,233.1071958
"MULTILINESTRING ((-73.84616458438481 40.836088617416145, -73.84590452635518 40.83627289788602))",2,Bronx,210,18,82,34,14,BUTLER PLACE,86788,5,25438,BX1001,BX,Baseline,Westchester Square,X,AREA OF MINIMAL FLOOD HAZARD,5,98.41905671
"MULTILINESTRING ((-73.96023645555783 40.81812306896824, -73.95999682644015 40.81844757098086))",1,Manhattan,109,7,70,31,13,RIVERSIDE DRIVE,194447,4,34377,MN0902,MN,Community,Manhattanville-West Harlem,X,AREA OF MINIMAL FLOOD HAZARD,"2,3",135.5619226
"MULTILINESTRING ((-73.9588680588652 40.82000286613801, -73.95841539439314 40.82062570764387))",1,Manhattan,109,7,70,31,13,12 AVENUE,38431,4,34377,MN0902,MN,Community,Manhattanville-West Harlem,X,AREA OF MINIMAL FLOOD HAZARD,"2,4",259.2134405
